Input,Predicted,Actual
"- Babe, keep walking.","<unk> , <unk> <unk> <unk> .","- बेबे, चलते रहो."
"Alan, go wake up Doug.","<unk> , , <unk> <unk> .","एलन, डौग जाग जाओ."
Bring him around in circles.,<unk> <unk> <unk> <unk> <unk> <unk> .,उसे हलकों में चारों ओर ले आओ.
"Smead manila, pressboard edges.",<unk> <unk> <unk> <unk> <unk> <unk> <unk>,"स्मीड का खाकी कागज़, प्रेसबोर्ड किनारे।"
- You knew my husband?,<unk> <unk> आपकी आपकी <unk> ?,आप मेरे पति को जानते थे?
She's smarter than me.,<unk> मुझे मुझे मुझे <unk> है,मुझसे ज़्यादा तेज़ है।
Proceed to rendezvous Charlie.,<unk> <unk> <unk> <unk> <unk> <unk>,मिलन स्थल चार्ली के लिए आगे बढ़ें.
Hi. How're you doing?,<unk> <unk> कर कर कर रहे हो,"नमस्ते, ठीक है?"
There's gotta be something.,<unk> <unk> <unk> <unk> है .,कुछ होना चाहिये.
I know what you want.,<unk> <unk> तुम तुम . . .,मैं तुम क्या चाहते हो.
We only make him weaker.,<unk> <unk> <unk> <unk> <unk> <unk> .,नहीं तो उसे और कमज़ोर बना देंगे।
"All right people, listen up!","<unk> , , , सुनो ! ! !","सभी सही लोगों, सुनो!"
Two minutes to target.,<unk> <unk> के <unk> <unk>,लक्ष्य में दो मिनट।
Just calm your mind.,<unk> अपने अपने <unk> . .,बस अपने मन को शांत!
"- Thank you, Doug.",<unk> <unk> <unk> <unk> <unk> <unk>,- डौग धन्यवाद.
Whose business is the preservation,<unk> <unk> <unk> <unk>,किसका व्यापार संरक्षण है
And those who not follow?,<unk> लोगों को खुला है ? ?,और जिन्होंने उसकी सत्ता स्वीकार नहीं की?
Do not be a hero.,<unk> <unk> <unk> नहीं नहीं है .,एक नायक मत बनो.
What was your mission?,<unk> आपकी का बहन ? ?,अपने मिशन क्या था?
You disappointed me Lucas.,<unk> <unk> <unk> <unk> <unk> <unk>,You disappointed me Lucas.
Who is the real man?,<unk> <unk> <unk> है ?,कौन सच्चा मर्द है?
In the rice stink.,<unk> <unk> <unk> <unk> .,बदबूदार चावल में.
They're too drunk to walk!,<unk> <unk> <unk> <unk> कर है !,ये क्या चलेंगे!
You can take life's knocks.,<unk> <unk> <unk> पर <unk> . .,तुम जींदगी की ठोकर संभाल सकती हो
"- Documents, I said.","<unk> , <unk> <unk> <unk> ।","- दस्तावेज़, मैंने कहा."
How many more lies?,<unk> <unk> <unk> <unk> ?,और कितने झूठ?
WE'LL CALL IT FOUR.,<unk> <unk> <unk> <unk> <unk> <unk>,हम यह चार फोन करता हूँ.
I've been arrested 26 times.,<unk> <unk> <unk> <unk> <unk> . . .,मैं 26 बार गिरफ्तार किया गया है.
We need to talk.,<unk> के के लिए है,हम बात करने की जरूरत है
Where did he go?,<unk> वह <unk> किया ? ?,वह कहाँ चला गया?
- I missed the show.,<unk> <unk> <unk> <unk> .,- मैं इस शो याद किया.
You must be hungry.,<unk> <unk> <unk> . . .,तुम्हें भूख लगी होगी।
And your BMW's not convertible.,<unk> <unk> <unk> <unk> नहीं नहीं है,तुम्हारी बीएमडब्ल्यू परिवर्तनीय नहीं है।
"Well, you look good.","<unk> , तुम बहुत बहुत . .","ठीक है, तुम अच्छे लग रहे हैं."
Did you want that?,<unk> तुम <unk> हो हो ?,यह वाली तुम्हें चाहिए थी क्या?
"Keitel, Jodl, Krebs and Burgdorf.","<unk> , <unk> <unk> <unk> <unk> और और <unk>","केटल, रॉड्ल, क्रेब्स और बर्गडॉर्फ."
What's wrong with you?,<unk> तुम्हारे साथ साथ है ?,तुम्हें क्या हुआ?
Put the knife down.,<unk> फली <unk> नीचे .,चाकू नीचे रखो.
The last Super Bowl.,<unk> <unk> <unk> <unk> <unk> <unk>,आखिरी सुपर बाउल.
You said ghosts didn't exist.,<unk> <unk> <unk> नहीं नहीं . .,पर आपने ही तो कहा था की भूत नही होते हैं .
- And I fought back.,<unk> <unk> <unk> <unk> <unk> <unk>,- और मैं वापस लड़े.
Hang on a second.,<unk> <unk> <unk> पर <unk> <unk>,एक दूसरे पर लटका.
holding the White House hostage.,<unk> <unk> <unk> <unk> <unk>,जिन्होंने व्हाइट हाउस पर क़ब्ज़ा किया हुआ है।
"Cut the shit, I'm Hungarian.",<unk> <unk> <unk> <unk> <unk> <unk> .,"गंदगी काटो, मैं हंगेरी हूँ."
They're giving out melon slices.,<unk> <unk> <unk> <unk> <unk> <unk> .,वह तरबूज का टुकड़ा दे रहे हैं।
What's an institution look like?,<unk> <unk> <unk> <unk> है है,क्या एक संस्था है कैसे दिखते हैं?
I couldn't picture him.,<unk> उसे नहीं नहीं सकता .,मैं उसकी तस्वीर नहीं ले सका.
- You're saying that now.,<unk> <unk> कि कर कर रहे हैं,- अब आप जो कह रहे हैं।
What am I doing here?,<unk> यहाँ <unk> <unk> कर रहा ?,मैं यहाँ क्या कर रही हूँ?
He's very dangerous man.,<unk> बहुत बहुत है है .,वो बहुत ही खतरनाक आदमी है.
Confirming they're loading the money.,वे <unk> <unk> <unk> कर रहे हैं,वो पैसा लोड कर रहे हैं।
What's wrong with that?,<unk> <unk> के <unk> है ?,तो गलत क्या है?
He lived in Africa.,<unk> <unk> <unk> <unk> <unk> <unk>,वह अफ्रीका में रहते थे.
- Where are we going?,<unk> हम जा जा हो ?,- हम कहाँ जा रहे हैं?
You know they can't.,"<unk> , है नहीं नहीं कर सकते",आप वे नहीं कर सकते पता है.
I'm going in in three..,<unk> में में जा जा जा .,मैं तीन में में जा रहा हूँ ..
- See you later.,<unk> <unk> <unk> <unk> .,~ अलविदा देखो तुम.
"We're getting paid, right?","<unk> <unk> , , , , रहे ?",हम सही भुगतान किया हो रही है?
Welcome back to Rome.,<unk> <unk> <unk> <unk> <unk> .,रोम के लिए वापसी पर स्वागत है।
You clipped one of them.,<unk> <unk> <unk> <unk> <unk> ।,आप उनमें से एक को काटा गया.
You are something special.,<unk> <unk> <unk> <unk> . .,आप कुछ विशेष हैं.
I have to study.,<unk> <unk> <unk> <unk> <unk>,मैं अध्ययन किया है.
Ask the Warden for funds.,<unk> <unk> <unk> <unk> <unk> <unk>,धन के लिए वार्डन से पूछो.
Just taking a little breather.,<unk> <unk> <unk> <unk> <unk> .,बस थोड़ा आराम कर रहा था।
( hip-hop music overlapping ),( <unk> <unk> <unk> <unk>,(हिपहॉपसंगीत अतिव्यापी)
I know I said it.,<unk> <unk> <unk> कि कि . .,पता है मैंने कहा था।
May be more also.,<unk> और <unk> <unk> <unk> .,शायद उससे भी ज्यादा.
I know it's painful.,<unk> <unk> <unk> <unk> है है .,पता है यह असह्य है।
"/ Oh, my God.","<unk> <unk> , , <unk> <unk> <unk>","/ ओह, मेरे भगवान."
I do not know.,<unk> नहीं नहीं नहीं . .,मैं कहता हूँ पता है.
Everybody has killed here.,<unk> यहाँ <unk> <unk> <unk> .,हर कोई यहाँ मारे जा रहे हैं.
"You can stop this, Darren.","<unk> हम भी , सकते सकते सकते सकते","तुम्हें पता है, डैरेन इस रोक सकता है।"
Let me see your license.,मैं अपने <unk> <unk> <unk> . .,मुझे अपने लाइसेंस देखते हैं.
"""So click my photo... beloved.""",""" मेरी मेरी तस्वीर तस्वीर पर . . . ""","""तो मेरी तस्वीर पर क्लिक करें ... प्रिय"""
- I like you alive.,<unk> <unk> आप आप कर .,मुझे तुम ज़िंदा ही पसंद हो।
Go move the table.,<unk> <unk> <unk> <unk>,मेज़ को हटाओ।
My mama ran a whorehouse.,<unk> <unk> <unk> <unk> <unk> <unk> .,मेरी माँ एक whorehouse भाग गया.
This is handover to you.,<unk> <unk> <unk> लिए <unk> .,ये अब आपके हाथो में हैं .
"I'm a dead man, right?","<unk> <unk> आदमी आदमी , , ?","मैं तो मारा गया, है न?"
Please enter abort command.,<unk> <unk> <unk> <unk> <unk> .,गर्भपात कमांड दर्ज करें.
♪ I WILL REMEMBER YOU,<unk> <unk> <unk> <unk> <unk>,♪मैंतुम्हेंयाद /मैंहोगा
This is not elysium.,<unk> <unk> नहीं नहीं है .,इस नन्दन नहीं है.
"Unidentified, Max da Costa.",<unk> <unk> <unk> <unk> <unk> <unk> <unk>,"अज्ञात, मैक्स दा कोस्टा."
"Oh, I'm so tired already.",<unk> <unk> <unk> के के के के के .,"ओह, मैं बहुत थक गयी हूँ."
(MEN SHOUTING IN URDU),( <unk> <unk> <unk> <unk> <unk> <unk>,(मर्दोंउर्दूमेंचिल्ला)
So you can save money?,आप आप <unk> <unk> कर सकते ?,तो आप पैसा बचा सकते हैं?
This is flesh and blood.,<unk> और और और और और .,इस मांस और रक्त है।
"If you're leaving, just go.","<unk> तुम हो , , , , . .","अगर आप जा रहे हो तो, चले जाओ."
It's a present from Raju.,<unk> <unk> <unk> <unk> है .,यह राजू ने दिया है.
"- No, I'm ok.",<unk> <unk> <unk> <unk> <unk> <unk> .,"- नहीं, मैं ठीक हूँ."
man speaking native language:,पुरुष अपनी अपनी मातृभाषा बोल बोल,पुरुष अपनी मातृभाषा में बोल रहा है:
- Back it up.,यह <unk> <unk> . .,- - यह बैकअप लें।
"No, I didn't miss it.","<unk> , , नहीं नहीं नहीं नहीं .",नहीं तो।
What are you doing there?,<unk> तुम कर कर रहे हो ?,तुम वहाँ क्या कर रहे हो?
What are you talking about?,आप <unk> बारे में कर कर रहे,आप किस बारे में बात कर रहे हैं?
He's supposed to come again.,<unk> के के के है है,वह फिर आने वाली है.
"You got visitors, man.","<unk> <unk> , , यार यार","आप आगंतुकों, आदमी मिला।"
Let's put it behind us.,<unk> तेजी तेजी से है .,- बिलकुल। उसे भूल जाते हैं।
Maybe Doug's back there.,<unk> <unk> <unk> वापस <unk> . .,शायद डौग वापस वहाँ है.
"Hey, listen, I was right.","<unk> , , , , , ।","सुनो, अरे, मैं सही था."
(MEN TALKING IN DISTINCTLY),( <unk> <unk> <unk> <unk> <unk> <unk>,(मर्दोंसाफ़मेंबात कर)
"Davina, I'm not asking.",<unk> <unk> <unk> <unk> <unk> नहीं . .,"डेविना, मैं नहीं कह रहा हूँ।"
"""I will fear no evil.",""" <unk> <unk> <unk> नहीं नहीं है है",""" मैं कोई बुराई डर होगा."
And you get paid.,<unk> <unk> <unk> <unk> . .,और अगर आप भुगतान मिलता है।
Go to the mountain!,<unk> <unk> <unk> <unk> ! !,पहाड़ के पास जाओ!
He needs both his dads.,<unk> <unk> <unk> <unk> <unk> <unk> .,उसे अपने दोनों पापा की ज़रूरत है।
- I got a wife.,<unk> एक मिनट <unk> <unk>,- मैं एक पत्नी को मिला है.
You follow this officer.,इसके इस <unk> <unk> है है,इस अधिकारी के पीछे पीछे चलो.
"You got 'em, Bob?",<unk> <unk> <unk> <unk> <unk> ? ?,"आप उन्हें, बॉब मिला?"
It's none of your business.,<unk> <unk> <unk> के के <unk> नहीं .,यह तुम्हारा काम नहीं है.
Each one ultimately a failure.,<unk> <unk> <unk> <unk> <unk> <unk> .,अतः उम्मीद हर एक. हर एक अंत में एक विफलता.
"Oh, she left me.","<unk> , वह मुझे मुझे .","ओह, वह मुझे छोड़ दिया।"
Amélie doesn't have a boyfriend.,<unk> एक वीडियो नहीं नहीं है,Amélie का boyfriend नहीं है .
What's wrong with that?,<unk> <unk> <unk> के है ?,उसमें गलत क्या है?
Focus only on our deal,<unk> <unk> से से से है,केवल हमारे समझौते पर फोकस
Why am I so unlucky?,<unk> <unk> <unk> <unk> <unk> ?,मैं इतनी बदकिश्मत क्यों हूं?
"Mr. Baxford, I'm very sorry.","<unk> <unk> , <unk> <unk> <unk> . . .","बहुत खेद श्री Baxford, मैं हूँ."
I asked and he agreed.,और और और <unk> और .,मैंने उसकी सहमती पूछी.
Don't shoot! I'm not armed.,<unk> <unk> <unk> <unk> <unk> <unk>,गोली मत चलाना मेरे पास कोई गन नहीं है .
- You want me to?,<unk> <unk> <unk> लिए हूँ ?,- मेरे लिये?
"Is this your business, son?","<unk> , , , , ? ?","यह आपके व्यापार, बेटा है?"
"Right, go tell Lady Stark.","<unk> , <unk> <unk> <unk> <unk> <unk>","ठीक है, जाना लेडी स्टार्क बताओ।"
# Sotto i pini,<unk> <unk> मैं मैं <unk>,♪ देवदार तले ♪
- Uncle called you.,<unk> <unk> <unk> <unk> .,- चाचा तुम्हें बुलाया।
This patient is in coma..,<unk> <unk> <unk> <unk> <unk> <unk> .,इस मरीज कोमा में है ..
You mean the former regent?,<unk> <unk> <unk> <unk> ? ?,आप पूर्व रीजेंट मतलब है?
-Why are we running?,<unk> हम क्या कर रहे ?,-हम दौड़ क्यों रहे हैं?
"Shut the lid, will ya?","<unk> <unk> , <unk> . ?",- ढक्कन बंद करोगे?
What's the code to D227?,<unk> <unk> <unk> <unk> ?,डी227 का कोड क्या है ?
He's in love with you?,<unk> <unk> <unk> के लिए ? ?,वह आप के साथ प्यार में है?
Pick up the pace!,<unk> <unk> <unk> ! !,गति लेने!
© P@rM! NdeR M@nkÖÖ ™,© <unk> <unk> <unk> <unk>,©@ पीआर एम !
Let's go to work.,<unk> के के के लिए,के काम करने के लिए चलते हैं.
He had his face.,अपने हाउस हाउस <unk> । .,उसी की शक्ल थी।
Need your vote now.,<unk> <unk> <unk> <unk> <unk> कर,अब आपका वोट चाहिए होगा।
Welcome to Baby Corp!,<unk> <unk> <unk> <unk> <unk> <unk>,बेबी कॉर्प में स्वागत है!
- And an engineer.,<unk> <unk> <unk> <unk> <unk>,हाँ और एक Engineer भी .
You betrayed the Hard Master.,<unk> <unk> <unk> <unk> <unk>,आप हार्ड मास्टर धोखा दिया..
Page two is really interesting.,<unk> <unk> <unk> <unk> <unk> .,पृष्ठ दो वास्तव में दिलचस्प है.
You promised me Jack's blood.,<unk> <unk> <unk> <unk> <unk> . .,आपने मुझे जैक का खतरा बताया है!
"Keep moving, let's go, push.","<unk> <unk> , चलो , , चलो",तेज़।
I didn't have to.,<unk> नहीं नहीं नहीं .,-मुझे ज़रूरत नहीं पड़ी।
"Nice meeting you, boyses.","<unk> <unk> <unk> , <unk> <unk> .",मिलकर ख़ुशी हुई लड़कों।
The current's too strong.,<unk> <unk> भी <unk> तरह है .,वर्तमान भी मजबूत है.
Did anyone see you?,<unk> <unk> <unk> <unk> ? ?,किसी को भी तुम्हें देखा है?
What did you tell him?,<unk> तुम्हें तुम्हें <unk> ? ?,तुमने उनसे क्या कहा?
Go for the windshield!,<unk> <unk> <unk> <unk> लिए !,विंडशील्ड का निशाना लो !
"Here, look at this.","<unk> , यह यह देखो देखो .","यहाँ , इसे देखो."
These foreigners carry my luggage.,<unk> <unk> <unk> <unk> <unk> <unk> .,इन विदेशियों मेरा सामान ले।
Don't look at me either.,<unk> मत मत मत मत . .,या तो मुझ पर क्या देख नहीं है.
"I get it, all right?","<unk> , , , , ठीक ?","मैं यह सब सही हो, तो?"
A man of few words.,<unk> <unk> में <unk> <unk> <unk>,वह बहुत कम बोलता है।
- Look who's back!,<unk> बाहर बाहर ! ! !,~ देखो कौन वापस आ गया है ~!
"Hummingbird, this is Castle Ground.","<unk> , यह <unk> <unk> <unk> .",हम कैसल ग्राउंड हैं।
Zeus is your father.,<unk> मेरे पिता <unk> <unk> है,ज़ीउसअपनेपिताहै
Even people he'd killed?,<unk> <unk> <unk> <unk> <unk> ? ?,यहां तक ​​कि किस-किस को मारा.
You actually enjoy that?,<unk> <unk> <unk> में में ?,तुम वास्तव में आनंद?
You can't go upstairs!,<unk> नहीं नहीं नहीं नहीं ! !,तुम ऊपर नहीं जा सकते!
Please tell me it's daylight.,<unk> <unk> <unk> <unk> <unk> .,कृपया मुझे बताओ कि यह दिन के उजाले करें.
And we still had corn.,<unk> अभी भी <unk> <unk> नहीं <unk>,फिर भी हमारे पास मकाई थी .
You've netted a fine catch.,<unk> <unk> <unk> <unk> <unk> .,अच्छी मछलिया फंसाई हैं.
The answer is definitely 'no'.,<unk> <unk> <unk> <unk> <unk> <unk> नहीं नहीं है,जवाब 'नहीं' निश्चित रूप से है.
"That's great. Thanks, babe.",<unk> <unk> <unk> <unk> <unk> <unk> .,"-बहुत अच्छे, थैंक्स बेब।"
What do you think?,आप आप <unk> हो ? ?,-तुम्हें क्या लगता है ?
- It's just a tale.,<unk> <unk> <unk> <unk> <unk> है .,- यह सिर्फ एक कहानी है
- As beautiful as you!,<unk> <unk> <unk> <unk> ! !,-एकदम आप जैसी.
"Brother, this isn't right.","<unk> , यह नहीं नहीं है है .","भाई, यह सही नहीं है।"
As a second wife?,एक मिनट <unk> <unk> ? ?,एक दूसरी पत्नी के रूप में?
What the fuck kind of...,<unk> <unk> <unk> <unk> . . .,क्या बकवास की तरह ...
"No, I can handle him.","<unk> , <unk> उसे कर कर कर सकते","नहीं, मैं उसे सँभाल लूँगा।"
I was just checking in.,<unk> <unk> <unk> <unk> <unk> . .,बेबे
Believe in what you're selling.,<unk> <unk> <unk> <unk> कर रहे . .,उस पर भरोसा करो जो तुम बेच रहे हो।
I'm not going back.,<unk> वापस नहीं नहीं जा . .,मैं वापस नहीं जा रहा हूँ।
"I wake up, scared.","<unk> , , , , .",मैं डरकर जाग जाता हूं.
I can't hold it in.,<unk> <unk> नहीं नहीं नहीं . . .,मैं रोक नहीं सकता।
She was on her own.,<unk> <unk> <unk> <unk> <unk> .,वह अपने दम पर था.
near the canyons in 17.,<unk> <unk> <unk> <unk>,17 में घाटियों के पास.
It's called a rock blanket?,<unk> <unk> <unk> <unk> है है,इसे एक रॉक ब्लैंकिट कहा जाता है.
"Quarter speed, remote controlled.",<unk> <unk> <unk> <unk> <unk> <unk> <unk>,"क्वार्टर गति, रिमोट नियंत्रित किया."
The population of the earth:,<unk> <unk> <unk> <unk> <unk>,पृथ्वी की जनसंख्या:
As I live and breath!,<unk> और और <unk> <unk> <unk>,जैसा कि मैंने रहते हैं और सांस!
"Sorry, I gotta ask.","<unk> , <unk> <unk> <unk> .",मुझे पूछना पड़ेगा।
You won't have a problem,<unk> एक एक नहीं नहीं नहीं,आप एक समस्या नहीं होगी
Think... real Swedish strawberries.,<unk> . . <unk> . . .,सोचो... असली स्वीडिश स्ट्रॉबेरी.
"Ender, no one is embarrassed.","<unk> , , एक <unk> नहीं है है","एंडर, कोई शर्िमंदा नहीं है।"
Why did you do it?,<unk> तुम्हें यह किया ? ?,तुमने यह क्यों किया?
"Hello, she's coming sure, ah?","<unk> , वह है है है , है","हैलो, वो वास्तव में आ रही हैं, हाँ?"
"""I'm just two drinks down.""",""" <unk> मैं <unk> <unk> . . .","""मैं सिर्फ दो पेय नीचे हूँ।"""
Göring's concern isn't unjustified.,<unk> <unk> <unk> नहीं नहीं नहीं है,गोरिंग की चिंताएं अनुचित नहीं हैं.
How do you feel?,<unk> आप क्यों हो ? ?,आपको कैसा लगता है?
Ripened in ethylene gas.,<unk> <unk> <unk> <unk> <unk> <unk>,एथिलीन गैस से पकाया है।
"Our world, we hope.","<unk> , , हम है है है","हमारा ग्रह, हम आशा करते हैं ."
You gotta be shitting me.,<unk> <unk> <unk> <unk> . .,हद हो गई।
- Don't trust him,<unk> उसे नहीं नहीं नहीं,- उस पर विश्वास मत करो
What do I do?,<unk> <unk> <unk> ? ?,मैं क्या करूं?
"-lt's lit, it's lit.","<unk> <unk> , , <unk> <unk> है .","लेफ्टिनेंट आईआईटी, यह जलाया है."
"Go home, play another game!","<unk> , और और और और !","घर जाओ, और कोई और खेल खेलो!"
"Oh, baby, it's on!","<unk> , , , यह यह ! !","ओह, बेबी, उस पर है!"
That thing's 100 years old.,<unk> <unk> <unk> <unk> <unk> <unk> है,ये चीज़ 100 साल पुरानी है।
No. Not for real.,<unk> <unk> के <unk> <unk> .,"असली के लिए नहीं, ऐसा नहीं है."
"- You're a prick, Andy.","<unk> <unk> , <unk> <unk> <unk> . .","- तुम एक चुभन, एंडी रहे हैं."
"Your team, not mine.","<unk> , , , नहीं .","तुम्हारा दल, मेरा नहीं।"
Earth is still my home.,<unk> भी भी मेरे मेरे घर .,पृथ्वीअभीभी मेराघरहै
"Good to see you, brother.","<unk> <unk> , , , ,","आपको देखकर अच्छा लगा, भाई."
He will look like you.,<unk> आप <unk> <unk> <unk> . .,उन्होंने कहा कि आप की तरह दिखेगा.
- I'm just saying.,<unk> भी भी जा रहा .,- मैं सिर्फ इतना कह रहा हूँ.
"Then, give it to me.","<unk> , मुझे मुझे बात .","तब,दे दो मुझे."
of leaving us militarily exposed.,हम <unk> <unk> <unk> <unk> <unk> .,जब कि हम सैन्य रूप से ख़तरे में पड़ सकते हैं।
- - I'm not. -,<unk>,- मैं नहीं कर रहा हूँ.
"Yeah, you're a bad liar.","<unk> , तुम एक एक एक एक . .","हाँ, यदि आप एक बुरा झूठे हो।"
He was talking madness.,<unk> <unk> <unk> कर कर .,वह पागलपन बात कर रहा था।
man speaking native language:,पुरुष अपनी अपनी मातृभाषा में बोल,पुरुष अपनी मातृभाषा में बोल रहा है:
"Full titanium core, no alloys.","<unk> <unk> <unk> , <unk> <unk> <unk> .","पूर्ण टाइटेनियम कोर, कोई मिश्र."
"- Elias, age 12.",<unk> <unk> <unk> <unk> <unk> <unk>,"- एलियास, उम्र 12."
"- You hate farming, Dad.","<unk> <unk> <unk> , <unk> <unk> <unk>","आप खेतीबाड़ी से नफरत करते है, Dad."
The CEO even autographed it.,<unk> <unk> <unk> <unk> <unk> <unk> .,सीईओ ने इस पर ऑटोग्राफ़ भी किया है।
Letter Arrives 30 Years Late.,<unk> <unk> <unk> <unk> <unk> <unk> <unk>,एक चिट्ठी 30 साल बाद पहुंची
"They almost killed you, Ash!","<unk> , <unk> <unk> <unk> <unk> <unk>",तुम तो बाल-बाल बचे!
"Tej, where's that component?","<unk> , जहां है है है ? ?","किघटकहै जहांते} ,'"
KDK 1 calling KDK 12.,<unk> <unk> <unk> <unk> <unk> <unk> <unk>,के डी के 1 बुला रहा है के डी के 12 को.
- Why listen to him?,मेरी मेरी मेरी बात सुनो ?,-उसकी बात ऐसे ही मत माना करो?
"The Hollow, she's getting stronger.","<unk> <unk> , <unk> <unk> <unk> है .","खोखले, वह मजबूत हो रही है।"
You're not safe here.,<unk> यहाँ नहीं नहीं है . .,तुम यहाँ महफ़ूज़ नहीं हो।
What sort of anomaly?,<unk> <unk> <unk> <unk> <unk> ?,कैसी अजीब तरह की गढ़बड़ी से ?
I called the shots.,<unk> <unk> <unk> <unk> .,मेरा कहा ही होता था.
If only it were possible.,<unk> <unk> बहुत बहुत है . .,-काश ऐसा मुमकिन होता।
There's no brain activity.,<unk> <unk> <unk> <unk> <unk> है .,कोई मस्तिष्क गतिविधि है.
- Bonzo agreed to this?,<unk> <unk> <unk> <unk> ? ?,- Bonzo इस पर सहमत हुए?
"So, look, what's next?","<unk> , , , क्या है ? ?","तो, आगे क्या?"
Go for the center.,<unk> <unk> के <unk> <unk>,केंद्र के िलए जाओ.
Do you hear me?,<unk> तुम <unk> ? ? ?,क्या आप मुझे सुन रहे हो?
- It's not my problem,<unk> <unk> नहीं नहीं नहीं नहीं,-मुझे नहीं पता
If the Captain finds out...,<unk> <unk> <unk> <unk> . . .,अगर कप्तान को पता लग जाए ...
"- Yes, I'm Mary.",<unk> <unk> <unk> <unk> <unk> <unk> .,"- हाँ, मैं मरियम हूँ."
- The red woman.,<unk> <unk> <unk> है,- लाल औरत।
"Guys, keep your eyes open.","<unk> , अपनी अपनी अपनी . .","दोस्तों, अपनी आँखें खुली रखो."
I'm telling you the truth.,"<unk> मैं भी तुम्हें , . . .",मैं तुम्हें सच कह रहा हूँ।
So... how's the college life?,<unk> . . . . . .,तो... कॉलेज जीवन कैसा है?
I have no idea.,<unk> <unk> नहीं नहीं . .,मुझे पता नहीं है।
"Bagonghi, let's go this way.","<unk> , चलो चलो चलते चलो चलते","बगोंघी चलो, इधर से चलें."
Why are you meeting Shiva?,<unk> <unk> <unk> <unk> कर ?,तुम शिवा से मिल रहे हो?
You're not leaving me.,<unk> मुझे नहीं जा जा जा .,तुम मुझे नहीं जा रहे हैं।
They started the projection again.,<unk> <unk> <unk> <unk> <unk> .,वे प्रक्षेपण फिर से शुरू कर दिया।
- - You were fantastic.,<unk> <unk> <unk> <unk> .,- तुम शानदार थे.
You have a savings bond.,<unk> <unk> <unk> <unk> <unk> .,आप एक बचत बांड है.
"Hey, you a motor-head?",कार <unk> पर,"अरे, तुम एक मोटर सिर?"
"""Sweetheart I swear on you.""",""" मैं मैं तुम पर तुम कसम "" ""","""जानेमन मैं तुम पर कसम खाता हूँ।"""
"Okay, switch to mobile.",<unk> <unk> <unk> <unk> <unk> <unk> <unk>,"ठीक है, मोबाइल को स्विच."
Why is Gabriella standing there?,<unk> <unk> <unk> <unk> है ? ?,गैब्रिएला खड़ी क्यों है?
You made me forget?,<unk> <unk> <unk> <unk> <unk> ?,तुम मुझे भूल जाओ?
- Shall I fall down?,<unk> <unk> <unk> <unk> <unk> <unk>,- क्या मै गिर जाऊ?
We made a lot.,<unk> <unk> <unk> <unk> . .,हम एक बहुत कुछ किया.
"- Yes, it is.","<unk> , यह यह है .","- हाँ, यह है."
What do you want?,<unk> तुम हो हो हो ?,तुम क्या चाहते हो?
I only had five days.,केवल मिनट मिनट मिनट <unk> .,मैं केवल पांच दिन था!
But a mother never forgets.,<unk> <unk> <unk> <unk> <unk> <unk> .,पर एक माँ कभी नहीं भूलती।
"What are your orders, sir?","<unk> <unk> , , , ,",सर ?
"Call the guards, now.",<unk> <unk> <unk> <unk> <unk>,"गार्ड को बुलाओ, अब!"
He's all I have.,<unk> <unk> <unk> <unk> <unk> है,वह सब मेरे पास है.
I'll be right there.,<unk> वहाँ वहाँ हो . .,"ट्रेवर, बस अब के लिए Ieave. ट्रेवर: l'νe लगभग मिल गया."
- I will kill you.,<unk> आप आप <unk> हो .,- मै तुझे मार डालूंगा.
"On the other hand,","<unk> , , <unk> <unk>","दूसरी ओर,"
- Because I was there.,<unk> <unk> <unk> <unk> . .,-क्योंकि मैं वहाँ था।
I... (CROWD CHEERING ON TV),<unk> <unk> <unk> <unk> . . <unk> <unk> <unk>,मैं .. (टीवी पर उत्साही भीड़)
This wasn't on the map.,<unk> <unk> नहीं नहीं . .,यह सिर्फ नक्शे पर नहीं था.
Definitely not that funny.,<unk> नहीं नहीं नहीं . .,निश्चित नहीं हास्यास्पद है.
Because I'm a brilliant driver.,<unk> <unk> <unk> <unk> <unk> <unk> . .,क्योंकि मैं एक प्रतिभाशाली चालक हूँ।
We work four days' straight.,<unk> तीस के <unk> <unk> <unk> के है,हम चार दिनों के सीधे काम करते हैं.
I'm right behind you.,<unk> <unk> <unk> <unk> <unk> . .,मैं तुम्हारे पीछे हूँ.
Dr. Mann had it worse.,<unk> <unk> <unk> <unk> है .,Dr. Mann इससे भी ज्यादा अकेले होंगे .
- What is he doing?,<unk> वह कर कर कर ?,-क्या कर रहे हैं?
I'm looking for a Lars.,<unk> <unk> के लिए लिए लिए . .,मैं किसी लार्स को खोज रहा हूँ.
I've never done that.,<unk> कभी नहीं नहीं नहीं नहीं .,मैंने ऐसा कभी नहीं किया है.
- I have enough.,<unk> <unk> <unk> है है,- मेरे पास काफ़ी है.
"No shortcuts, no lies.","<unk> <unk> , <unk> <unk> <unk> <unk>","कोई शॉर्टकट नहीं, कोई निहित है।"
( Horses neighing ),( <unk> <unk> ) <unk>,(घोड़े neighing)
The smoke will blind Okkoto.,<unk> <unk> <unk> <unk>,आप के रूप में होगा.
- Inject her quickly.,<unk> <unk> <unk> <unk> <unk>,- उसे जल्दी इंजेक्षन।
EMT ON SPEAKER. ;,<unk> <unk> <unk> <unk> <unk>,EMTपर:
- You're gonna be great.,<unk> हो हो जा . .,- तुम महान हो जा रहे हैं.
Leave my noodles alone.,<unk> <unk> <unk> <unk> <unk> .,मेरे नूडल्स को छोड़ दो।
